Player,#,Pos,HT,WT,Age,Exp,College,Team,Division,Popularity
"
Sean Chandler",34,S,5-10,200,25,5,Temple,Panthers,,
"
Jeremy Chinn",21,S,6-3,220,24,3,Southern Illinois,Panthers,,
"
Brady Christensen",70,T,6-6,300,25,2,BYU,Panthers,,
"
Austin Corbett",,G,6-4,305,26,5,Nevada,Panthers,,
"
Dennis Daley",65,G,6-6,325,25,4,South Carolina,Panthers,,
"
Sam Darnold",14,QB,6-3,225,24,5,Southern Cal,Panthers,,
"
Pat Elflein",60,G,6-3,305,27,6,Ohio State,Panthers,,
"
Cameron Erving",75,T,6-5,315,29,8,Florida State,Panthers,,
"
Thomas Fletcher",46,LS,6-1,235,23,2,Alabama,Panthers,,
"
D'Onta Foreman",,RB,6-0,235,25,5,Texas,Panthers,,
"
Sam Franklin Jr.",42,S,6-3,210,26,3,Temple,Panthers,,
"
Zane Gonzalez",5,K,6-0,200,26,6,Arizona State,Panthers,,
"
Yetur Gross-Matos",97,DE,6-5,265,24,3,Penn State,Panthers,,
"
Lirim Hajrullahu",3,K,5-11,205,31,1,Western Ontario (Canada),Panthers,,
"
Madre Harper",36,CB,6-1,195,24,2,Southern Illinois,Panthers,,
"
Myles Hartsfield",38,DB,5-11,210,24,3,Mississippi,Panthers,,
"
Marquis Haynes Sr.",98,DE,6-2,235,28,5,Mississippi,Panthers,,
"
Johnny Hekker",,P,6-5,225,32,11,Oregon State,Panthers,,
"
CJ Henderson",15,CB,6-1,205,23,3,Florida,Panthers,,
"
Frank Herron",69,DE,6-5,275,27,2,LSU,Panthers,,
"
Rashard Higgins",,WR,6-1,198,27,7,Colorado State,Panthers,,
"
Jaycee Horn",8,CB,6-1,200,22,2,South Carolina,Panthers,,
"
Mike Horton",66,G,6-4,325,25,1,Auburn,Panthers,,
"
Phil Hoskins",71,DT,6-5,280,25,2,Kentucky,Panthers,,
"
Chuba Hubbard",30,RB,6-1,210,22,2,Oklahoma State,Panthers,,
"
Matt Ioannidis",,DT,6-3,305,28,7,Temple,Panthers,,
"
Donte Jackson",26,CB,5-10,180,26,5,LSU,Panthers,,
"
Joe Jackson",,DE,6-4,285,25,4,Miami,Panthers,,
"
J.J. Jansen",44,LS,6-2,235,36,15,Notre Dame,Panthers,,
"
Darryl Johnson",92,DE,6-6,250,25,4,North Carolina A&T,Panthers,,
"
Michael Jordan",73,G,6-6,315,24,4,Ohio State,Panthers,,
"
Azur Kamara",54,LB,6-4,235,23,3,Kansas,Panthers,,
"
Austin Larkin",96,DE,6-3,265,27,2,Purdue,Panthers,,
"
Cory Littleton",,LB,6-3,225,28,7,Washington,Panthers,,
"
Frankie Luvu",49,LB,6-3,235,25,5,Washington State,Panthers,,
"
Terrace Marshall Jr.",88,WR,6-2,200,21,2,LSU,Panthers,,
"
Kamal Martin",47,LB,6-3,240,23,3,Minnesota,Panthers,,
"
Christian McCaffrey",22,RB,5-11,205,25,6,Stanford,Panthers,,
"
Rashaan Melvin",29,CB,6-2,195,32,9,Northern Illinois,Panthers,,
"
Aaron Monteiro",62,T,6-6,315,25,1,Boston College,Panthers,,
"
DJ Moore",2,WR,6-0,210,25,5,Maryland,Panthers,,
"
Taylor Moton",72,T,6-5,325,27,6,Western Michigan,Panthers,,
"
Daviyon Nixon",94,DT,6-3,305,23,2,Iowa,Panthers,,
"
Aaron Parker",19,WR,6-3,205,23,1,Rhode Island,Panthers,,
"
Austen Pleasants",74,OL,6-7,330,24,1,Ohio,Panthers,,
"
Troy Pride Jr.",25,CB,5-11,195,24,3,Notre Dame,Panthers,,
"
Giovanni Ricci",45,FB,6-3,240,25,2,Western Michigan,Panthers,,
"
Kenny Robinson",27,S,6-2,200,23,3,West Virginia,Panthers,,
"
Bravvion Roy",93,DT,6-1,330,25,3,Baylor,Panthers,,
"
C.J. Saunders",81,WR,5-10,190,N/A,R,Ohio State,Panthers,,
"
Shi Smith",12,WR,5-10,190,23,2,South Carolina,Panthers,,
"
Julian Stanford",50,LB,6-1,230,31,9,Wagner,Panthers,,
"
Stephen Sullivan",84,TE,6-5,245,25,1,LSU,Panthers,,
"
Keith Taylor Jr.",28,CB,6-3,195,22,2,Washington,Panthers,,
"
Sam Tecklenburg",68,C,6-4,310,25,2,Baylor,Panthers,,
"
Ian Thomas",80,TE,6-4,260,25,5,Indiana,Panthers,,
"
Stantley Thomas-Oliver III",23,CB,6-0,190,23,3,FIU,Panthers,,
"
Colin Thompson",86,TE,6-4,255,28,3,Temple,Panthers,,
"
Shaq Thompson",7,LB,6-0,230,27,8,Washington,Panthers,,
"
Tommy Tremble",82,TE,6-4,250,21,2,Notre Dame,Panthers,,
"
Jacob Tuioti-Mariner",48,DT,6-2,260,25,4,UCLA,Panthers,,
"
P.J. Walker",6,QB,5-11,210,27,3,Temple,Panthers,,
"
Chris Westry",,CB,6-4,210,24,3,Kentucky,Panthers,,
"
Damien Wilson",,LB,6-1,245,28,8,Minnesota,Panthers,,
"
Xavier Woods",,S,5-11,200,26,6,Louisiana Tech,Panthers,,
"
Brandon Zylstra",16,WR,6-2,215,29,5,Concordia (Minn.),Panthers,,
"
Kenjon Barner",38,RB,5-9,195,32,8,Oregon,Bucs,,
"
Shaquil Barrett",58,OLB,6-2,250,29,9,Colorado State,Bucs,,
"
Giovani Bernard",25,RB,5-9,205,30,10,North Carolina,Bucs,,
"
Jose Borregales",19,K,5-10,206,24,1,Miami,Bucs,,
"
Tom Brady",12,QB,6-4,225,44,23,Michigan,Bucs,,
"
Cameron Brate",84,TE,6-5,245,30,8,Harvard,Bucs,,
"
K.J. Britt",52,ILB,6-0,235,22,2,Auburn,Bucs,,
"
Ross Cockrell",43,CB,6-0,191,30,9,Duke,Bucs,,
"
Chris Cooper",39,S,5-10,202,28,1,Stony Brook,Bucs,,
"
Jaelon Darden",1,WR,5-8,174,23,2,North Texas,Bucs,,
"
Lavonte David",54,ILB,6-1,233,32,11,Nebraska,Bucs,,
"
Carlton Davis III",24,CB,6-1,206,25,5,Auburn,Bucs,,
"
Jamel Dean",35,CB,6-1,206,25,4,Auburn,Bucs,,
"
Dee Delaney",30,CB,5-11,200,27,2,Miami,Bucs,,
"
Mike Edwards",32,S,5-10,205,25,4,Kentucky,Bucs,,
"
Mike Evans",13,WR,6-5,231,28,9,Texas A&M,Bucs,,
"
Leonard Fournette",7,RB,6-0,228,27,6,LSU,Bucs,,
"
Blaine Gabbert",11,QB,6-5,235,32,12,Missouri,Bucs,,
Russell Gage,,WR,6-0,184,26,5,LSU,Bucs,,
"
William Gholston",92,DL,6-6,281,30,10,Michigan State,Bucs,,
"
Cam Gill",49,OLB,6-3,240,24,3,Wagner,Bucs,,
"
Chris Godwin",14,WR,6-1,208,26,6,Penn State,Bucs,,
"
Cyril Grayson Jr.",15,WR,5-9,183,28,2,LSU,Bucs,,
"
Ryan Griffin",4,QB,6-4,218,32,8,Tulane,Bucs,,
"
Robert Hainsey",70,OL,6-4,306,23,2,Notre Dame,Bucs,,
Sterling Hofrichter,6,P,5-10,196,25,2,Syracuse,Bucs,,
"
Jonathan Hubbard",68,T,6-4,313,24,1,Northwestern State (LA),Bucs,,
"
Sadarius Hutcherson",61,G,6-3,321,23,2,South Carolina,Bucs,,
"
Ryan Jensen",66,C,6-4,319,30,9,Colorado State-Pueblo,Bucs,,
Fred Johnson,,OL,6-7,326,24,4,Florida,Bucs,,
"
Tyler Johnson",18,WR,6-1,206,23,3,Minnesota,Bucs,,
"
Travis Jonsen",,WR,6-4,211,25,1,Montana State,Bucs,,
"
Nick Leverett",60,G,6-4,310,25,2,Rice,Bucs,,
Shaq Mason,,G,6-1,310,28,8,Georgia Tech,Bucs,,
"
Codey McElroy",86,TE,6-6,258,29,1,Southeastern Oklahoma State,Bucs,,
"
Scotty Miller",10,WR,5-9,174,24,4,Bowling Green,Bucs,,
"
John Molchon",75,G,6-5,309,25,3,Boise State,Bucs,,
"
Sean Murphy-Bunting",23,CB,6-0,195,24,4,Central Michigan,Bucs,,
Keanu Neal,,S,6-0,211,26,7,Florida,Bucs,,
"
Anthony Nelson",98,OLB,6-7,271,25,4,Iowa,Bucs,,
"
Rakeem Nunez-Roches",56,DL,6-2,307,28,8,Southern Mississippi,Bucs,,
"
Breshad Perriman",16,WR,6-2,215,28,8,Central Florida,Bucs,,
"
Bradley Pinion",8,P,6-5,229,27,8,Clemson,Bucs,,
"
Elijah Ponder",44,OLB,6-3,275,24,1,Cincinnati,Bucs,,
"
Benning Potoa'e",91,DL,6-3,290,25,1,Washington,Bucs,,
Willington Previlon,94,DL,6-5,287,24,1,Rutgers,Bucs,,
"
Rashard Robinson",28,CB,6-1,177,26,6,LSU,Bucs,,
Logan Ryan,,S,5-11,195,31,10,Rutgers,Bucs,,
"
Donovan Smith",76,T,6-6,338,28,8,Penn State,Bucs,,
"
Kobe Smith",71,DL,6-2,300,23,1,South Carolina,Bucs,,
Vyncint Smith,,WR,6-3,195,25,4,Limestone,Bucs,,
"
Aaron Stinnie",64,G,6-3,312,28,5,James Madison,Bucs,,
"
Grant Stuard",48,ILB,5-11,230,23,2,Houston,Bucs,,
"
Ryan Succop",3,K,6-2,218,35,14,South Carolina,Bucs,,
"
Kyle Trask",2,QB,6-5,236,24,2,Florida,Bucs,,
"
Zach Triner",97,LS,6-3,245,31,4,Assumption,Bucs,,
"
Joe Tryon-Shoyinka",9,OLB,6-5,259,22,2,Washington,Bucs,,
"
Ke'Shawn Vaughn",21,RB,5-10,214,24,3,Vanderbilt,Bucs,,
"
Vita Vea",50,DL,6-4,347,27,5,Washington,Bucs,,
"
Brandon Walton",73,T,6-5,300,24,1,Florida Atlantic,Bucs,,
"
Troy Warner",22,S,6-1,200,23,1,BYU,Bucs,,
Austin Watkins Jr.,,WR,6-3,210,24,1,UAB,Bucs,,
"
Josh Wells",72,T,6-6,306,31,8,James Madison,Bucs,,
"
Devin White",45,ILB,6-0,237,24,4,LSU,Bucs,,
"
Antoine Winfield Jr.",31,S,5-9,203,23,3,Minnesota,Bucs,,
"
Tristan Wirfs",78,T,6-5,320,23,3,Iowa,Bucs,,
"
Ali Marpet",74,G,6-4,307,N/A,R,Hobart,Bucs,,
"
Andrew Adams",26,S,5-11,205,29,7,Connecticut,Bucs,,
"
Pierre Desir",29,CB,6-2,206,31,9,Lindenwood,Bucs,,
"
Rob Gronkowski",87,TE,6-6,265,32,12,Arizona,Bucs,,
"
Steve McLendon",96,DL,6-3,310,36,13,Troy,Bucs,,
"
Kevin Minter",51,ILB,6-0,246,31,10,LSU,Bucs,,
"
Patrick O'Connor",79,DL,6-4,270,28,4,Eastern Michigan,Bucs,,
"
Jason Pierre-Paul",90,OLB,6-5,275,33,13,South Florida,Bucs,,
Curtis Riley,39,S,6-0,189,29,8,Fresno State,Bucs,,
"
Richard Sherman",5,CB,6-3,195,34,12,Stanford,Bucs,,
"
Ndamukong Suh",93,DL,6-4,313,35,13,Nebraska,Bucs,,
